task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
08ed6ac7,11.26,10,1278,5698,0.2
08ed6ac7,12.48,10,1278,5681,0.3
08ed6ac7,8.93,10,1278,5600,0.5
08ed6ac7,8.5,10,1278,5335,0.5
08ed6ac7,8.5,10,1278,5417,0.6
08ed6ac7,9.93,10,1278,5362,0.6
08ed6ac7,10.24,10,1278,5947,0.7
08ed6ac7,9.73,10,1278,6193,0.8
08ed6ac7,9.16,10,1278,5974,0.9
bbc9ae5d,15.52,10,864,8682,0.1
bbc9ae5d,20.07,10,864,6846,0.2
bbc9ae5d,14.33,10,864,5760,0.3
bbc9ae5d,11.47,10,864,6099,0.5
bbc9ae5d,16.59,10,864,6057,0.5
bbc9ae5d,15.05,10,864,6283,0.6
bbc9ae5d,15.98,10,864,6487,0.6
bbc9ae5d,12.52,10,864,6886,0.7
bbc9ae5d,19.12,10,864,6436,0.8
bbc9ae5d,22.83,10,864,8293,0.9
f5b8619d,19.13,10,1055,12224,0.1
f5b8619d,10.44,10,1055,5530,0.2
f5b8619d,10.96,10,1055,5829,0.3
f5b8619d,18.87,10,1055,9838,0.5
f5b8619d,30.48,10,1055,8115,0.5
f5b8619d,19.25,10,1055,8464,0.6
f5b8619d,15.77,10,1055,8767,0.6
f5b8619d,15.88,10,1055,7364,0.7
f5b8619d,18.53,10,1055,10426,0.8
f5b8619d,24.48,10,1055,11449,0.9
6b9890af,14.18,10,4850,6773,0.1
6b9890af,15.06,10,4850,6495,0.2
6b9890af,12.59,10,4850,6091,0.3
6b9890af,13.62,10,4850,7429,0.5
6b9890af,31.28,10,4850,9082,0.5
6b9890af,18.9,10,4850,7098,0.6
6b9890af,12.39,10,4850,6959,0.6
6b9890af,35.84,10,4850,11879,0.7
6b9890af,15.47,10,4850,7224,0.8
6b9890af,14.23,10,4850,7165,0.9
98cf29f8,10.69,10,4862,5351,0.1
98cf29f8,8.68,10,4862,4715,0.2
98cf29f8,11.49,10,4862,5546,0.3
98cf29f8,36.15,10,4862,7652,0.5
98cf29f8,9.63,10,4862,5323,0.5
98cf29f8,12.18,10,4862,4922,0.6
98cf29f8,9.73,10,4862,4753,0.6
98cf29f8,34.61,10,4862,7864,0.7
98cf29f8,37.07,10,4862,10009,0.8
98cf29f8,11.16,10,4862,5087,0.9
06df4c85,11.45,10,9068,5283,0.1
06df4c85,11.98,10,9068,6043,0.2
06df4c85,9.32,10,9068,5549,0.3
06df4c85,37.78,10,9068,7910,0.5
06df4c85,34.0,10,9068,7975,0.5
06df4c85,9.83,10,9068,5745,0.6
06df4c85,60.52,10,9068,10449,0.6
06df4c85,37.79,10,9068,8287,0.7
06df4c85,37.38,10,9068,8235,0.8
06df4c85,37.58,10,9068,8795,0.9
b6afb2da,11.99,10,1506,5796,0.1
b6afb2da,19.35,10,1506,5665,0.2
b6afb2da,12.29,10,1506,6946,0.3
b6afb2da,11.27,10,1506,6126,0.5
b6afb2da,11.47,10,1506,6270,0.5
b6afb2da,10.98,10,1506,6613,0.6
b6afb2da,9.81,10,1506,5902,0.6
b6afb2da,10.24,10,1506,6234,0.7
b6afb2da,8.1,10,1506,6073,0.8
b6afb2da,9.74,10,1506,6540,0.9
7df24a62,11.87,10,13030,6975,0.1
7df24a62,40.65,10,13030,11586,0.2
7df24a62,14.95,10,13030,7171,0.3
7df24a62,44.15,10,13030,12076,0.5
7df24a62,14.02,10,13030,7115,0.5
7df24a62,40.04,10,13030,12320,0.6
7df24a62,15.36,10,13030,7156,0.6
7df24a62,42.81,10,13030,13652,0.7
7df24a62,43.11,10,13030,12727,0.8
7df24a62,35.23,10,13030,9535,0.9
e8593010,12.78,10,2120,8085,0.1
e8593010,11.88,10,2120,7163,0.2
e8593010,16.59,10,2120,8025,0.3
e8593010,10.96,10,2120,6748,0.5
e8593010,12.29,10,2120,6722,0.5
e8593010,24.78,10,2120,9731,0.6
e8593010,14.85,10,2120,6979,0.6
e8593010,11.47,10,2120,6461,0.7
e8593010,22.53,10,2120,7585,0.8
e8593010,10.75,10,2120,6627,0.9
746b3537,11.46,10,594,6114,0.1
746b3537,13.41,10,594,5468,0.2
746b3537,10.65,10,594,5656,0.3
746b3537,9.62,10,594,5088,0.5
746b3537,11.78,10,594,5528,0.5
